,user_id,week,creation_source,opted_in_to_mailing_list,enabled_for_marketing_drip,org_id,visited,adopted_user
55,73,16,ORG_INVITE,0,0,389,1,No
56,74,34,SIGNUP_GOOGLE_AUTH,0,0,89,59,yes
57,75,4,SIGNUP,0,0,242,1,No
58,76,20,SIGNUP,1,1,51,1,No
59,77,3,SIGNUP,1,1,68,3,yes
60,78,26,PERSONAL_PROJECTS,1,0,16,1,No
61,80,18,ORG_INVITE,1,1,49,8,yes
62,81,22,PERSONAL_PROJECTS,1,0,185,78,yes
63,82,23,GUEST_INVITE,0,0,91,205,yes
64,83,4,ORG_INVITE,1,0,172,1,No
65,84,5,ORG_INVITE,0,0,8,1,No
66,85,34,ORG_INVITE,1,1,43,1,No
67,86,46,ORG_INVITE,0,0,249,1,No
68,87,21,SIGNUP,1,0,26,104,yes
69,88,33,SIGNUP,0,0,139,1,No
70,89,32,SIGNUP,0,0,70,1,No
71,90,32,ORG_INVITE,0,0,10,1,No
72,91,12,SIGNUP,0,0,252,1,No
73,92,8,SIGNUP_GOOGLE_AUTH,0,0,91,1,No
74,94,23,SIGNUP,0,0,69,2,No
75,95,18,PERSONAL_PROJECTS,0,0,119,5,yes
76,96,13,ORG_INVITE,0,0,130,2,No
77,97,40,SIGNUP_GOOGLE_AUTH,0,0,3,1,No
78,98,20,ORG_INVITE,0,0,196,1,No
79,99,39,ORG_INVITE,0,1,335,1,No
80,100,25,ORG_INVITE,0,0,375,1,No
81,101,33,GUEST_INVITE,0,0,303,1,No
82,103,48,GUEST_INVITE,1,1,25,1,No
83,105,47,ORG_INVITE,1,1,134,1,No
84,106,38,PERSONAL_PROJECTS,0,0,83,1,No
85,107,39,SIGNUP,0,0,27,1,No
86,109,35,SIGNUP,1,0,118,1,No
87,110,44,ORG_INVITE,0,0,295,1,No
88,111,35,SIGNUP,0,0,19,1,No
89,112,50,ORG_INVITE,0,0,301,1,No
90,113,18,SIGNUP,0,0,100,1,No
91,114,22,GUEST_INVITE,0,0,112,1,No
92,115,22,GUEST_INVITE,0,0,263,1,No
93,116,36,ORG_INVITE,0,0,0,1,No
94,117,32,GUEST_INVITE,0,0,39,1,No
95,119,39,SIGNUP,0,0,184,1,No
96,121,1,GUEST_INVITE,1,0,402,1,No
97,123,11,SIGNUP,0,0,103,1,No
98,124,18,PERSONAL_PROJECTS,0,0,373,1,No
99,125,21,ORG_INVITE,0,0,268,1,No
100,126,39,ORG_INVITE,1,1,112,5,yes
101,127,11,SIGNUP,0,0,30,1,No
102,128,16,SIGNUP,0,1,53,2,No
103,132,33,GUEST_INVITE,0,0,263,1,No
104,133,20,SIGNUP,0,0,249,72,yes
105,135,23,ORG_INVITE,0,0,313,24,yes
106,136,21,SIGNUP_GOOGLE_AUTH,1,0,92,6,yes
107,138,27,SIGNUP_GOOGLE_AUTH,0,0,138,1,No
108,139,13,ORG_INVITE,0,0,261,1,No
109,140,23,GUEST_INVITE,0,1,35,1,No
110,141,6,ORG_INVITE,0,0,264,20,yes
111,142,21,PERSONAL_PROJECTS,0,0,95,4,yes
112,143,26,GUEST_INVITE,0,0,325,1,No
113,144,8,SIGNUP,1,0,55,1,No
114,146,23,ORG_INVITE,0,0,60,111,yes
115,147,37,ORG_INVITE,0,0,1,1,No
116,150,22,SIGNUP,0,0,10,1,No
117,151,15,SIGNUP,0,0,11,1,No
118,153,21,SIGNUP,0,0,64,157,yes
119,154,20,ORG_INVITE,0,0,28,1,No
120,155,17,GUEST_INVITE,0,0,410,1,No
121,156,10,SIGNUP,1,0,170,1,No
122,158,52,SIGNUP,0,0,42,1,No
123,159,20,ORG_INVITE,0,0,374,1,No
124,160,21,ORG_INVITE,1,1,15,147,yes
125,161,21,SIGNUP_GOOGLE_AUTH,1,0,17,1,No
126,162,8,GUEST_INVITE,0,0,15,1,No
127,164,18,SIGNUP,0,1,364,1,No
128,165,14,SIGNUP_GOOGLE_AUTH,0,0,62,17,yes
129,167,8,PERSONAL_PROJECTS,1,0,342,1,No
130,168,22,ORG_INVITE,0,0,225,319,yes
131,171,20,SIGNUP,0,0,121,4,yes
132,172,38,ORG_INVITE,0,0,255,13,yes
133,173,43,PERSONAL_PROJECTS,1,0,7,1,No
134,174,4,GUEST_INVITE,0,0,411,22,yes
135,175,33,PERSONAL_PROJECTS,0,0,217,1,No
136,176,15,SIGNUP_GOOGLE_AUTH,0,0,109,1,No
137,178,23,ORG_INVITE,0,0,415,1,No
138,179,16,ORG_INVITE,0,0,11,1,No
139,180,2,SIGNUP,0,0,104,1,No
140,181,40,SIGNUP,0,0,329,1,No
141,182,47,ORG_INVITE,0,0,139,1,No
142,183,19,PERSONAL_PROJECTS,0,0,278,1,No
143,184,5,SIGNUP,0,0,30,1,No
144,185,23,GUEST_INVITE,0,0,116,56,yes
145,187,22,ORG_INVITE,0,0,290,1,No
146,188,22,ORG_INVITE,0,0,30,16,yes
147,189,33,PERSONAL_PROJECTS,0,1,252,1,No
148,193,44,ORG_INVITE,1,0,122,1,No
149,195,40,ORG_INVITE,0,0,135,1,No
150,196,8,GUEST_INVITE,0,0,3,1,No
151,197,22,GUEST_INVITE,1,0,135,205,yes
152,198,19,ORG_INVITE,0,1,328,1,No
153,200,23,ORG_INVITE,1,1,107,159,yes
154,201,49,ORG_INVITE,1,1,263,1,No
155,202,21,GUEST_INVITE,1,0,5,56,yes
156,203,23,GUEST_INVITE,1,0,263,213,yes
157,204,13,SIGNUP,0,0,36,1,No
158,205,35,PERSONAL_PROJECTS,0,0,0,1,No
159,206,49,PERSONAL_PROJECTS,0,1,13,1,No
160,208,31,SIGNUP,0,0,349,1,No
161,209,23,PERSONAL_PROJECTS,0,0,184,142,yes
162,210,18,GUEST_INVITE,0,0,353,1,No
163,211,42,ORG_INVITE,1,0,1,1,No
164,212,13,ORG_INVITE,0,0,342,2,No
165,213,11,ORG_INVITE,1,0,64,1,No
166,214,23,GUEST_INVITE,0,0,304,107,yes
167,215,19,SIGNUP,0,0,25,1,No
168,216,51,SIGNUP,0,0,15,1,No
169,217,14,SIGNUP_GOOGLE_AUTH,1,0,198,1,No
170,219,22,ORG_INVITE,1,0,303,1,No
171,220,30,SIGNUP_GOOGLE_AUTH,0,1,68,1,No
172,221,23,SIGNUP_GOOGLE_AUTH,0,0,108,4,yes
173,222,17,SIGNUP,1,1,77,1,No
174,223,20,ORG_INVITE,0,0,142,2,No
175,225,43,PERSONAL_PROJECTS,0,0,254,1,No
176,226,41,SIGNUP_GOOGLE_AUTH,0,0,81,1,No
177,227,29,ORG_INVITE,1,0,275,1,No
178,228,29,ORG_INVITE,1,1,7,1,No
179,230,23,ORG_INVITE,0,0,278,305,yes
180,232,42,ORG_INVITE,0,0,2,1,No
181,234,22,SIGNUP_GOOGLE_AUTH,0,0,191,1,No
182,235,48,PERSONAL_PROJECTS,0,0,7,1,No
183,236,22,GUEST_INVITE,0,0,7,1,No
184,237,19,SIGNUP,1,1,8,1,No
185,238,47,PERSONAL_PROJECTS,0,0,49,1,No
186,239,45,SIGNUP,0,0,36,1,No
187,240,9,ORG_INVITE,0,0,102,1,No
188,241,46,PERSONAL_PROJECTS,0,0,245,3,yes
189,242,30,ORG_INVITE,1,0,56,1,No
190,243,24,SIGNUP,1,0,7,1,No
191,244,11,ORG_INVITE,0,0,154,1,No
192,245,22,ORG_INVITE,0,0,218,196,yes
193,246,13,SIGNUP_GOOGLE_AUTH,0,0,385,1,No
194,247,20,ORG_INVITE,0,0,76,60,yes
195,249,12,GUEST_INVITE,0,0,321,1,No
196,250,33,SIGNUP,1,1,159,1,No
197,251,10,ORG_INVITE,0,0,371,4,yes
198,252,39,ORG_INVITE,0,0,50,1,No
199,253,7,ORG_INVITE,0,1,75,1,No
200,254,10,PERSONAL_PROJECTS,1,0,11,2,No
201,255,28,ORG_INVITE,0,0,333,1,No
202,256,31,SIGNUP,1,0,137,1,No
203,258,19,ORG_INVITE,1,1,278,1,No
204,259,49,ORG_INVITE,1,0,1,1,No
205,260,2,PERSONAL_PROJECTS,0,1,292,1,No
206,261,51,SIGNUP_GOOGLE_AUTH,1,0,75,1,No
207,262,39,SIGNUP,1,0,70,1,No
208,263,23,ORG_INVITE,0,0,89,264,yes
209,265,9,GUEST_INVITE,0,0,131,22,yes
210,266,33,SIGNUP_GOOGLE_AUTH,0,0,178,1,No
211,267,19,ORG_INVITE,0,0,213,1,No
212,268,8,SIGNUP,0,0,32,1,No
213,271,24,ORG_INVITE,0,0,1,1,No
214,273,28,SIGNUP,1,0,68,1,No
215,275,23,ORG_INVITE,0,0,192,21,yes
216,277,23,ORG_INVITE,0,0,6,3,yes
217,278,19,ORG_INVITE,0,0,27,1,No
218,280,22,ORG_INVITE,1,0,300,56,yes
219,283,23,SIGNUP_GOOGLE_AUTH,0,0,316,25,yes
220,284,10,SIGNUP,0,0,52,1,No
221,285,11,SIGNUP,0,0,62,1,No
222,286,34,ORG_INVITE,0,0,68,1,No
223,289,3,PERSONAL_PROJECTS,1,1,185,1,No
224,290,22,ORG_INVITE,1,0,254,1,No
225,291,17,SIGNUP,1,1,3,2,No
226,292,21,SIGNUP,0,0,12,1,No
227,293,22,GUEST_INVITE,0,0,0,1,No
228,294,37,ORG_INVITE,0,0,332,1,No
229,295,42,SIGNUP_GOOGLE_AUTH,0,0,121,1,No
230,297,23,SIGNUP,1,0,79,271,yes
231,298,22,GUEST_INVITE,0,0,10,94,yes
232,299,25,GUEST_INVITE,1,0,55,1,No
233,300,45,ORG_INVITE,1,1,3,1,No
234,302,49,SIGNUP_GOOGLE_AUTH,1,1,398,1,No
235,303,13,SIGNUP_GOOGLE_AUTH,0,0,316,1,No
236,305,22,SIGNUP_GOOGLE_AUTH,1,1,142,17,yes
237,308,9,ORG_INVITE,1,0,3,1,No
238,309,14,GUEST_INVITE,0,0,17,1,No
239,310,23,SIGNUP_GOOGLE_AUTH,0,0,269,167,yes
240,311,23,SIGNUP,1,1,135,81,yes
241,312,50,ORG_INVITE,0,0,147,1,No
242,313,48,SIGNUP,0,0,17,1,No
243,315,24,PERSONAL_PROJECTS,0,0,211,1,No
244,316,35,ORG_INVITE,1,0,1,1,No
245,317,40,SIGNUP_GOOGLE_AUTH,0,0,131,1,No
246,319,5,ORG_INVITE,0,0,18,1,No
247,320,34,SIGNUP,0,0,122,1,No
248,321,40,SIGNUP,0,0,382,4,yes
249,322,21,ORG_INVITE,0,0,69,202,yes
250,323,12,ORG_INVITE,1,1,0,1,No
251,325,7,GUEST_INVITE,0,0,178,1,No
252,326,17,SIGNUP_GOOGLE_AUTH,0,0,365,1,No
253,329,45,GUEST_INVITE,0,0,144,1,No
254,330,9,GUEST_INVITE,1,0,62,3,yes
255,331,31,SIGNUP_GOOGLE_AUTH,0,0,275,1,No
256,333,11,ORG_INVITE,1,0,335,1,No
257,335,37,SIGNUP,0,0,45,1,No
258,337,32,SIGNUP_GOOGLE_AUTH,1,0,343,4,yes
259,338,21,GUEST_INVITE,0,0,64,2,No
260,339,51,SIGNUP_GOOGLE_AUTH,0,0,109,1,No
261,340,33,SIGNUP,1,0,200,1,No
262,341,23,GUEST_INVITE,1,1,2,108,yes
263,342,52,SIGNUP_GOOGLE_AUTH,0,0,61,1,No
264,343,38,ORG_INVITE,0,0,231,1,No
265,345,19,ORG_INVITE,0,0,16,9,yes
266,346,22,GUEST_INVITE,0,0,2,1,No
267,347,44,GUEST_INVITE,0,0,338,9,yes
268,349,13,PERSONAL_PROJECTS,1,1,340,1,No
269,350,14,SIGNUP_GOOGLE_AUTH,0,0,334,2,No
270,351,23,SIGNUP,0,0,163,33,yes
271,352,38,ORG_INVITE,1,0,2,1,No
272,353,22,SIGNUP,1,0,9,1,No
273,354,18,SIGNUP_GOOGLE_AUTH,0,0,302,1,No
274,357,19,ORG_INVITE,0,0,156,1,No
275,360,47,SIGNUP_GOOGLE_AUTH,0,0,84,1,No
276,362,6,PERSONAL_PROJECTS,0,0,285,9,yes
277,363,23,SIGNUP,0,0,1,49,yes
278,364,45,SIGNUP,1,1,380,1,No
279,365,13,SIGNUP_GOOGLE_AUTH,0,0,8,1,No
280,366,19,SIGNUP,1,1,148,1,No
281,367,5,ORG_INVITE,0,0,272,7,yes
282,368,25,GUEST_INVITE,0,0,244,1,No
283,370,22,ORG_INVITE,0,0,414,110,yes
284,371,32,GUEST_INVITE,0,0,264,1,No
285,374,8,PERSONAL_PROJECTS,0,0,237,1,No
286,375,17,ORG_INVITE,0,0,129,11,yes
287,376,32,SIGNUP_GOOGLE_AUTH,1,0,104,1,No
288,379,30,SIGNUP,0,0,346,1,No
289,381,16,SIGNUP,1,0,362,1,No
290,382,21,ORG_INVITE,0,0,92,3,yes
291,383,22,SIGNUP,0,1,7,21,yes
292,388,21,ORG_INVITE,1,1,165,1,No
293,389,38,GUEST_INVITE,0,0,191,1,No
294,390,21,SIGNUP,0,0,331,8,yes
295,391,7,SIGNUP,0,0,249,1,No
296,393,48,ORG_INVITE,0,0,71,1,No
297,394,7,SIGNUP_GOOGLE_AUTH,0,0,276,1,No
298,395,13,SIGNUP,0,0,191,1,No
299,397,3,ORG_INVITE,0,0,30,5,yes
300,398,35,ORG_INVITE,0,0,105,12,yes
301,399,9,GUEST_INVITE,0,0,221,1,No
302,400,41,SIGNUP,1,0,4,1,No
303,401,23,ORG_INVITE,0,0,9,41,yes
304,402,28,ORG_INVITE,1,1,185,1,No
305,403,6,ORG_INVITE,1,0,135,1,No
306,405,51,ORG_INVITE,0,0,39,1,No
307,406,33,SIGNUP_GOOGLE_AUTH,0,0,130,1,No
308,407,47,ORG_INVITE,1,1,0,1,No
309,408,24,SIGNUP,0,0,98,1,No
310,409,16,ORG_INVITE,0,0,361,1,No
311,411,9,ORG_INVITE,1,0,94,1,No
312,413,18,ORG_INVITE,0,0,143,2,No
313,416,13,ORG_INVITE,0,0,413,1,No
314,417,13,PERSONAL_PROJECTS,0,0,9,4,yes
315,418,48,ORG_INVITE,0,0,58,32,yes
316,420,20,GUEST_INVITE,1,1,235,1,No
317,423,45,ORG_INVITE,1,0,8,1,No
318,424,15,SIGNUP_GOOGLE_AUTH,0,0,196,1,No
319,425,3,PERSONAL_PROJECTS,0,0,152,1,No
320,426,18,ORG_INVITE,0,0,128,1,No
321,427,16,GUEST_INVITE,1,0,95,1,No
322,430,21,SIGNUP,0,0,352,96,yes
323,431,33,SIGNUP,0,0,286,1,No
324,433,18,SIGNUP,0,0,327,1,No
325,434,46,GUEST_INVITE,1,1,9,1,No
326,435,19,SIGNUP_GOOGLE_AUTH,0,0,31,1,No
327,436,28,ORG_INVITE,0,0,1,1,No
328,438,33,ORG_INVITE,0,0,334,1,No
329,439,4,PERSONAL_PROJECTS,0,0,5,1,No
330,440,2,SIGNUP_GOOGLE_AUTH,0,0,394,1,No
331,442,18,PERSONAL_PROJECTS,0,0,365,1,No
332,444,15,ORG_INVITE,0,0,229,1,No
333,445,22,GUEST_INVITE,0,0,289,487,yes
334,446,13,ORG_INVITE,0,1,381,1,No
335,448,48,SIGNUP_GOOGLE_AUTH,0,0,1,1,No
336,449,17,ORG_INVITE,0,0,205,1,No
337,450,23,SIGNUP,0,0,165,117,yes
338,451,30,SIGNUP,0,0,130,1,No
339,452,32,SIGNUP,1,1,320,1,No
340,453,48,ORG_INVITE,0,0,42,1,No
341,455,49,PERSONAL_PROJECTS,0,0,29,3,yes
342,457,42,SIGNUP,1,1,13,1,No
343,460,5,ORG_INVITE,1,0,25,11,yes
344,461,39,GUEST_INVITE,0,0,245,1,No
345,462,22,ORG_INVITE,1,0,9,146,yes
346,464,51,ORG_INVITE,0,1,262,1,No
347,465,28,GUEST_INVITE,1,0,9,1,No
348,469,21,SIGNUP,1,0,99,24,yes
349,471,23,PERSONAL_PROJECTS,0,0,336,76,yes
350,472,21,SIGNUP,0,0,271,6,yes
351,473,4,ORG_INVITE,0,0,366,1,No
352,474,6,SIGNUP_GOOGLE_AUTH,0,0,136,1,No
353,477,31,GUEST_INVITE,0,0,93,1,No
354,478,19,SIGNUP,0,0,411,5,yes
355,479,23,ORG_INVITE,0,0,88,6,yes
356,480,12,GUEST_INVITE,0,0,382,1,No
357,481,21,SIGNUP,0,0,22,6,yes
358,482,35,PERSONAL_PROJECTS,0,0,53,1,No
359,483,23,ORG_INVITE,0,0,141,98,yes
360,486,11,SIGNUP,0,0,366,2,No
361,487,28,SIGNUP,0,0,356,1,No
362,488,30,SIGNUP,1,0,2,1,No
363,490,50,SIGNUP,0,0,179,1,No
364,492,23,ORG_INVITE,0,0,52,78,yes
365,493,17,ORG_INVITE,1,1,120,1,No
366,494,22,SIGNUP,0,0,330,31,yes
367,495,17,GUEST_INVITE,0,0,4,1,No
368,497,23,GUEST_INVITE,0,0,65,205,yes
369,498,2,ORG_INVITE,0,0,296,1,No
370,500,21,GUEST_INVITE,1,1,68,2,No
371,501,16,GUEST_INVITE,0,0,33,1,No
372,502,21,GUEST_INVITE,0,0,36,17,yes
373,504,52,SIGNUP_GOOGLE_AUTH,0,0,103,1,No
374,505,10,SIGNUP,0,0,331,1,No
375,506,15,ORG_INVITE,0,0,339,5,yes
376,508,18,ORG_INVITE,0,0,0,1,No
377,509,22,GUEST_INVITE,0,0,98,283,yes
378,510,23,GUEST_INVITE,0,0,231,308,yes
379,511,9,ORG_INVITE,0,0,71,3,yes
380,512,21,SIGNUP_GOOGLE_AUTH,0,0,7,134,yes
381,513,51,ORG_INVITE,1,0,1,1,No
382,514,49,SIGNUP,0,0,2,1,No
383,515,31,ORG_INVITE,1,0,18,1,No
384,516,8,GUEST_INVITE,0,0,1,1,No
385,517,35,SIGNUP_GOOGLE_AUTH,0,0,75,1,No
386,518,23,ORG_INVITE,1,0,11,28,yes
387,519,46,ORG_INVITE,0,0,2,1,No
388,520,14,PERSONAL_PROJECTS,0,0,20,12,yes
389,521,34,SIGNUP,0,0,74,1,No
390,522,22,SIGNUP_GOOGLE_AUTH,0,0,2,89,yes
391,524,24,GUEST_INVITE,0,0,9,1,No
392,525,14,ORG_INVITE,1,0,4,1,No
393,526,49,PERSONAL_PROJECTS,1,0,224,1,No
394,528,25,SIGNUP,0,0,4,3,yes
395,529,21,ORG_INVITE,0,0,4,114,yes
396,531,2,ORG_INVITE,1,0,236,1,No
397,533,1,SIGNUP_GOOGLE_AUTH,0,0,184,1,No
398,534,12,SIGNUP_GOOGLE_AUTH,0,0,172,1,No
399,535,21,ORG_INVITE,0,0,371,250,yes
400,536,8,SIGNUP_GOOGLE_AUTH,0,0,383,1,No
401,537,27,SIGNUP,0,0,197,1,No
402,538,37,SIGNUP_GOOGLE_AUTH,1,1,40,1,No
403,539,17,GUEST_INVITE,0,0,41,1,No
404,540,43,GUEST_INVITE,0,0,380,56,yes
405,542,16,ORG_INVITE,0,0,45,1,No
406,543,22,SIGNUP,0,0,44,5,yes
407,546,9,ORG_INVITE,1,1,290,1,No
408,547,22,GUEST_INVITE,0,0,104,40,yes
409,549,19,ORG_INVITE,0,0,104,1,No
410,552,36,SIGNUP,1,0,4,1,No
411,553,16,ORG_INVITE,0,0,160,211,yes
412,554,52,PERSONAL_PROJECTS,0,0,6,1,No
413,555,10,ORG_INVITE,0,0,380,5,yes
414,557,12,GUEST_INVITE,1,1,36,1,No
415,560,10,PERSONAL_PROJECTS,1,1,0,1,No
416,561,18,SIGNUP_GOOGLE_AUTH,0,0,51,4,yes
417,562,46,SIGNUP,1,0,296,1,No
418,563,22,SIGNUP_GOOGLE_AUTH,1,0,3,1,No
419,564,21,ORG_INVITE,1,0,61,115,yes
420,565,26,SIGNUP_GOOGLE_AUTH,0,0,249,1,No
421,566,38,SIGNUP,0,0,192,1,No
422,568,25,ORG_INVITE,0,0,117,1,No
423,570,17,SIGNUP,0,0,58,1,No
424,571,2,SIGNUP_GOOGLE_AUTH,1,1,12,1,No
425,572,22,SIGNUP,1,1,35,44,yes
426,573,29,SIGNUP_GOOGLE_AUTH,0,0,116,1,No
427,574,12,SIGNUP,0,0,328,1,No
428,575,11,GUEST_INVITE,0,0,300,3,yes
429,576,2,SIGNUP,1,1,147,1,No
430,579,45,ORG_INVITE,1,1,73,1,No
431,580,9,SIGNUP,0,0,126,1,No
432,581,27,ORG_INVITE,1,1,372,1,No
433,582,11,ORG_INVITE,0,0,26,1,No
434,583,35,PERSONAL_PROJECTS,0,0,28,1,No
435,584,6,SIGNUP,0,0,21,1,No
436,586,12,SIGNUP_GOOGLE_AUTH,0,0,9,1,No
437,588,49,SIGNUP,1,1,376,1,No
438,589,39,ORG_INVITE,1,0,28,10,yes
439,591,8,ORG_INVITE,0,0,64,5,yes
440,592,1,ORG_INVITE,0,0,165,1,No
441,593,26,SIGNUP,1,1,208,1,No
442,595,7,ORG_INVITE,0,0,1,1,No
443,596,39,ORG_INVITE,0,0,342,1,No
444,597,25,ORG_INVITE,0,0,4,1,No
445,600,43,SIGNUP,1,0,13,1,No
446,601,22,SIGNUP,0,0,8,25,yes
447,603,23,SIGNUP,0,0,139,489,yes
448,604,33,SIGNUP,1,1,254,1,No
449,605,22,SIGNUP_GOOGLE_AUTH,0,0,96,408,yes
450,607,8,ORG_INVITE,0,0,306,5,yes
451,608,36,ORG_INVITE,0,0,40,4,yes
452,609,22,ORG_INVITE,1,1,144,1,No
453,612,20,GUEST_INVITE,0,0,258,1,No
454,614,24,SIGNUP,0,0,181,1,No
455,615,9,ORG_INVITE,0,0,4,1,No
456,616,32,SIGNUP_GOOGLE_AUTH,0,0,74,1,No
457,617,11,SIGNUP,1,0,256,4,yes
458,618,23,GUEST_INVITE,1,1,35,94,yes
459,619,15,SIGNUP,1,1,172,1,No
460,620,12,GUEST_INVITE,0,0,2,1,No
461,621,37,ORG_INVITE,0,0,349,1,No
462,623,3,SIGNUP,0,0,285,1,No
463,626,20,ORG_INVITE,0,0,60,1,No
464,627,23,GUEST_INVITE,1,0,174,22,yes
465,628,23,SIGNUP,1,0,291,16,yes
466,630,6,SIGNUP_GOOGLE_AUTH,0,0,3,1,No
467,632,23,GUEST_INVITE,1,0,274,87,yes
468,633,52,GUEST_INVITE,0,0,394,1,No
469,634,22,GUEST_INVITE,0,1,18,44,yes
470,635,22,GUEST_INVITE,0,0,205,1,No
471,637,49,GUEST_INVITE,0,0,1,1,No
472,638,34,ORG_INVITE,1,0,174,1,No
473,639,21,ORG_INVITE,0,0,16,197,yes
474,640,15,ORG_INVITE,1,0,9,1,No
475,641,4,ORG_INVITE,1,0,79,1,No
476,643,25,GUEST_INVITE,0,0,37,1,No
477,644,1,SIGNUP,0,0,349,1,No
478,646,45,ORG_INVITE,0,0,328,1,No
479,647,51,SIGNUP,0,0,214,1,No
480,648,37,ORG_INVITE,1,0,64,1,No
481,649,50,SIGNUP,1,0,226,4,yes
482,651,35,SIGNUP,0,0,344,1,No
483,652,42,ORG_INVITE,0,0,284,1,No
484,654,52,ORG_INVITE,1,0,174,1,No
485,655,43,SIGNUP_GOOGLE_AUTH,0,0,77,1,No
486,656,4,SIGNUP_GOOGLE_AUTH,1,1,42,1,No
487,657,51,SIGNUP,0,0,176,1,No
488,658,10,GUEST_INVITE,1,1,26,1,No
489,660,23,ORG_INVITE,1,1,0,1,No
490,661,18,GUEST_INVITE,0,0,0,1,No
491,663,34,SIGNUP,1,0,164,1,No
492,665,44,ORG_INVITE,0,0,80,3,yes
493,666,44,SIGNUP_GOOGLE_AUTH,0,1,0,1,No
494,667,18,GUEST_INVITE,0,0,278,2,No
495,668,26,ORG_INVITE,1,1,193,1,No
496,669,23,SIGNUP,0,0,218,142,yes
497,671,22,GUEST_INVITE,0,0,52,1,No
498,673,19,SIGNUP,0,0,239,1,No
499,674,9,SIGNUP_GOOGLE_AUTH,0,0,6,1,No
500,675,14,ORG_INVITE,0,0,114,2,No
501,676,8,GUEST_INVITE,0,0,385,1,No
502,677,40,ORG_INVITE,0,1,9,1,No
503,678,3,ORG_INVITE,0,0,126,1,No
504,679,23,GUEST_INVITE,0,0,201,209,yes
505,680,23,ORG_INVITE,0,0,157,126,yes
506,682,19,PERSONAL_PROJECTS,0,0,52,2,No
507,683,38,ORG_INVITE,0,0,65,2,No
508,685,41,SIGNUP,0,0,0,1,No
509,689,36,GUEST_INVITE,1,0,151,1,No
510,690,28,ORG_INVITE,1,0,281,1,No
511,691,22,GUEST_INVITE,1,1,292,1,No
512,692,9,GUEST_INVITE,0,0,8,1,No
513,693,42,SIGNUP,0,0,78,1,No
514,694,10,ORG_INVITE,1,1,77,1,No
515,699,17,ORG_INVITE,0,0,114,1,No
516,700,22,GUEST_INVITE,0,0,106,1,No
517,701,18,SIGNUP_GOOGLE_AUTH,0,0,209,1,No
518,702,27,PERSONAL_PROJECTS,0,0,35,1,No
519,703,16,PERSONAL_PROJECTS,0,0,31,2,No
520,704,2,SIGNUP,0,0,132,1,No
